127.0.0.1 - - [16/Aug/2014:18:35:15 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [16/Aug/2014:18:35:16 +0900] "GET /mvc_sukje/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Aug/2014:18:35:18 +0900] "GET /mvc_sukje/BoardList.bo HTTP/1.1" 200 20089
0:0:0:0:0:0:0:1 - - [16/Aug/2014:18:39:21 +0900] "GET /mvc_sukje/BoardWriteForm.bo HTTP/1.1" 200 3136
0:0:0:0:0:0:0:1 - - [16/Aug/2014:18:39:36 +0900] "POST /mvc_sukje/BoardWrite.bo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Aug/2014:18:39:36 +0900] "GET /mvc_sukje/BoardDetail.bo?id=40 HTTP/1.1" 200 3152
0:0:0:0:0:0:0:1 - - [16/Aug/2014:18:40:43 +0900] "GET /mvc_sukje/BoardList.bo HTTP/1.1" 200 20589
0:0:0:0:0:0:0:1 - - [16/Aug/2014:18:40:45 +0900] "GET /mvc_sukje/BoardWriteForm.bo HTTP/1.1" 200 3136
0:0:0:0:0:0:0:1 - - [16/Aug/2014:18:40:54 +0900] "POST /mvc_sukje/BoardWrite.bo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Aug/2014:18:40:54 +0900] "GET /mvc_sukje/BoardDetail.bo?id=41 HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [16/Aug/2014:18:41:16 +0900] "GET /mvc_sukje/BoardList.bo HTTP/1.1" 200 21091
0:0:0:0:0:0:0:1 - - [16/Aug/2014:18:47:20 +0900] "GET /mvc_sukje/BoardWriteForm.bo HTTP/1.1" 200 3136
0:0:0:0:0:0:0:1 - - [16/Aug/2014:18:52:39 +0900] "GET /mvc_sukje/BoardWriteForm.bo HTTP/1.1" 200 3136
0:0:0:0:0:0:0:1 - - [16/Aug/2014:19:01:04 +0900] "GET /mvc_sukje/BoardDetail.bo?id=33 HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [16/Aug/2014:19:01:04 +0900] "GET /mvc_sukje/image/yunmi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2014:19:01:07 +0900] "GET /mvc_sukje/BoardList.bo HTTP/1.1" 200 21091
0:0:0:0:0:0:0:1 - - [16/Aug/2014:19:01:08 +0900] "GET /mvc_sukje/BoardDetail.bo?id=41 HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [16/Aug/2014:19:01:09 +0900] "GET /mvc_sukje/DownRoad.bo?ori=%EC%A2%8B%EC%9D%80%EA%B1%B0.txt&sys=%EC%A2%8B%EC%9D%80%EA%B1%B03.txt HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2014:19:01:23 +0900] "GET /mvc_sukje/BoardList.bo HTTP/1.1" 200 21091
0:0:0:0:0:0:0:1 - - [16/Aug/2014:19:01:37 +0900] "GET /mvc_sukje/BoardDetail.bo?id=41 HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [16/Aug/2014:19:02:00 +0900] "GET /mvc_sukje/BoardList.bo HTTP/1.1" 200 21091
0:0:0:0:0:0:0:1 - - [16/Aug/2014:19:02:41 +0900] "GET /mvc_sukje/BoardDetail.bo?id=41 HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [16/Aug/2014:19:02:43 +0900] "GET /mvc_sukje/BoardList.bo HTTP/1.1" 200 21091
0:0:0:0:0:0:0:1 - - [16/Aug/2014:19:02:49 +0900] "GET /mvc_sukje/BoardDetail.bo?id=41 HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [16/Aug/2014:19:02:54 +0900] "GET /mvc_sukje/BoardList.bo HTTP/1.1" 200 21091
